case_id,activity,timestamp,lifecycle_transition,resource,amount_requested
173688,A_SUBMITTED,2011-10-01T00:38:44.546+02:00,COMPLETE,112,20000
173688,A_PARTLYSUBMITTED,2011-10-01T00:38:44.880+02:00,COMPLETE,112,20000
173688,A_PREACCEPTED,2011-10-01T00:39:37.906+02:00,COMPLETE,112,20000
173688,W_Completeren aanvraag,2011-10-01T00:39:38.875+02:00,SCHEDULE,112,20000
173688,W_Completeren aanvraag,2011-10-01T11:36:46.437+02:00,START,,20000
173688,A_ACCEPTED,2011-10-01T11:42:43.308+02:00,COMPLETE,10862,20000
173688,O_SELECTED,2011-10-01T11:45:09.243+02:00,COMPLETE,10862,20000
173688,A_FINALIZED,2011-10-01T11:45:09.243+02:00,COMPLETE,10862,20000
173688,O_CREATED,2011-10-01T11:45:11.197+02:00,COMPLETE,10862,20000
173688,O_SENT,2011-10-01T11:45:11.380+02:00,COMPLETE,10862,20000
173688,W_Nabellen offertes,2011-10-01T11:45:11.554+02:00,SCHEDULE,,20000
173688,W_Completeren aanvraag,2011-10-01T11:45:13.917+02:00,COMPLETE,,20000
173688,W_Nabellen offertes,2011-10-01T12:15:41.290+02:00,START,,20000
173688,W_Nabellen offertes,2011-10-01T12:17:08.924+02:00,COMPLETE,,20000
173688,W_Nabellen offertes,2011-10-08T16:26:57.720+02:00,START,10913,20000
173688,W_Nabellen offertes,2011-10-08T16:32:00.886+02:00,COMPLETE,10913,20000
173688,W_Nabellen offertes,2011-10-10T11:32:22.495+02:00,START,11049,20000
173688,O_SENT_BACK,2011-10-10T11:33:03.668+02:00,COMPLETE,11049,20000
173688,W_Valideren aanvraag,2011-10-10T11:33:04.560+02:00,SCHEDULE,11049,20000
173688,W_Nabellen offertes,2011-10-10T11:33:05.791+02:00,COMPLETE,11049,20000
173688,W_Valideren aanvraag,2011-10-13T10:05:26.925+02:00,START,10629,20000
173688,A_REGISTERED,2011-10-13T10:37:29.226+02:00,COMPLETE,10629,20000
173688,A_APPROVED,2011-10-13T10:37:29.226+02:00,COMPLETE,10629,20000
173688,O_ACCEPTED,2011-10-13T10:37:29.226+02:00,COMPLETE,10629,20000
173688,A_ACTIVATED,2011-10-13T10:37:29.226+02:00,COMPLETE,10629,20000
173688,W_Valideren aanvraag,2011-10-13T10:37:37.026+02:00,COMPLETE,10629,20000
173691,A_SUBMITTED,2011-10-01T08:08:58.256+02:00,COMPLETE,112,5000
173691,A_PARTLYSUBMITTED,2011-10-01T08:09:02.195+02:00,COMPLETE,112,5000
173691,A_PREACCEPTED,2011-10-01T08:09:56.648+02:00,COMPLETE,112,5000
173691,W_Completeren aanvraag,2011-10-01T08:09:59.578+02:00,SCHEDULE,112,5000
173691,W_Completeren aanvraag,2011-10-01T11:37:32.393+02:00,START,,5000
173691,W_Completeren aanvraag,2011-10-01T11:43:13.178+02:00,COMPLETE,,5000
173691,W_Completeren aanvraag,2011-10-01T14:27:57.775+02:00,START,,5000
173691,A_ACCEPTED,2011-10-01T14:33:54.614+02:00,COMPLETE,10862,5000
173691,A_FINALIZED,2011-10-01T14:35:46.016+02:00,COMPLETE,10862,5000
173691,O_SELECTED,2011-10-01T14:35:46.016+02:00,COMPLETE,10862,5000
173691,O_CREATED,2011-10-01T14:35:47.488+02:00,COMPLETE,10862,5000
173691,O_SENT,2011-10-01T14:35:47.583+02:00,COMPLETE,10862,5000
173691,W_Nabellen offertes,2011-10-01T14:35:47.682+02:00,SCHEDULE,,5000
173691,W_Completeren aanvraag,2011-10-01T14:35:48.791+02:00,COMPLETE,,5000
173691,W_Nabellen offertes,2011-10-01T14:36:13.443+02:00,START,,5000
173691,W_Nabellen offertes,2011-10-01T14:36:25.794+02:00,COMPLETE,,5000
173691,W_Nabellen offertes,2011-10-03T16:54:43.257+02:00,START,,5000
173691,O_SELECTED,2011-10-03T16:56:17.731+02:00,COMPLETE,11120,5000
173691,O_CANCELLED,2011-10-03T16:56:17.731+02:00,COMPLETE,11120,5000
173691,O_CREATED,2011-10-03T16:56:19.613+02:00,COMPLETE,11120,5000
173691,O_SENT,2011-10-03T16:56:19.645+02:00,COMPLETE,11120,5000
173691,W_Nabellen offertes,2011-10-03T16:56:19.941+02:00,SCHEDULE,,5000
173691,W_Nabellen offertes,2011-10-03T16:56:21.195+02:00,COMPLETE,,5000
173691,W_Nabellen offertes,2011-10-03T16:56:34.792+02:00,START,,5000
173691,W_Nabellen offertes,2011-10-03T16:57:16.563+02:00,COMPLETE,,5000
173691,W_Nabellen offertes,2011-10-10T10:13:44.827+02:00,START,11049,5000
173691,O_SENT_BACK,2011-10-10T10:14:43.775+02:00,COMPLETE,11049,5000
173691,W_Valideren aanvraag,2011-10-10T10:14:44.052+02:00,SCHEDULE,11049,5000
173691,W_Nabellen offertes,2011-10-10T10:14:45.514+02:00,COMPLETE,11049,5000
173691,W_Valideren aanvraag,2011-10-10T11:12:36.612+02:00,START,10809,5000
173691,W_Valideren aanvraag,2011-10-10T11:30:54.893+02:00,COMPLETE,10809,5000
173691,W_Valideren aanvraag,2011-10-10T14:11:42.124+02:00,START,10809,5000
